product,average_quantity_sold,total_quantity_sold,total_revenue,estimated_price_per_unit,projected_60_day_quantity,projected_60_day_revenue,recommended_inventory_order,reason
          $ 3.99 on specific products,17.0,17.0,-67.83,-3.9899999999999998,1020.0,-4069.7999999999997,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          $ 5.99 on Vajra Sona Masoori Rice 20LB,72.0,72.0,-431.28,-5.989999999999999,4320.0,-25876.799999999996,4752.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          $ 5.99 on Vajra Sona Masoori Rice 20LB  (2),1.0,1.0,-5.99,-5.99,60.0,-359.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          $ 5.99 on specific products,389.0,389.0,-1977.11,-5.082544987146529,23340.0,-118626.59999999999,25674.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          BOGO HAPPY LEAF IDLY RAVA 4LB,5.0,5.0,-29.95,-5.99,300.0,-1797.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Buy 2 @ $2.99 on Bambino Snacks,7.0,7.0,-6.93,-0.99,420.0,-415.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Buy 2 @ $5 Green Harvest Millet Noodles,30.0,30.0,-29.4,-0.98,1800.0,-1764.0,1980.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Buy 2 @$4 Parle Chatkeens,26.0,26.0,-25.48,-0.98,1560.0,-1528.8,1716.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Buy 2 Get 1 Free Kitchen Xpress 312g,30.0,30.0,-89.7,-2.99,1800.0,-5382.0,1980.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Dussehra Special Offer on Chkn Whole Cut,81.0,81.0,-226.79,-2.7998765432098764,4860.0,-13607.4,5346.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
